Date,Type,Tag,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2024-05-29 21:02:22 UTC,crypto_withdrawal,Cost,Knox SOl,0.000065,SOL,0.0109906876,,,,,,,-0.0000111915,0.0109794961,,,,4A1rCc2DBSFdbrxuvcNBmoXM2AeurZtCquDW1bMJxQyDKTcA1zk4spUuz6gRrrNLzvrHyQjuX3Zyh9eb7Jbv1sd9,
2024-05-29 21:02:43 UTC,crypto_deposit,,,,,,Bitcoin (BTC),0.02484237,BTC,,,,,0,,,,c5306e131f480fbf76cde8fcd72888ff0e52227cfce9c2cad9ed978b24d20624,
2024-05-29 21:03:48 UTC,crypto_withdrawal,,Knox SOl,0.003621457,SOL,0.6123431177,,,,,,,-0.0006235304,0.6117195873,,,,4nRzQbNZh8tBSNW5zrSxyM5zCGbsYXNGTMKpuRwLdHsnYnD1mG4tXvLRJDyEV16Numr51FNmMwHP4Mpwrsy6ozRE,
2024-05-29 21:03:48 UTC,crypto_withdrawal,,Knox SOl,1,FROG#3851,276.9534027,,,,,,,-0.0034026753,276.95,,,,4nRzQbNZh8tBSNW5zrSxyM5zCGbsYXNGTMKpuRwLdHsnYnD1mG4tXvLRJDyEV16Numr51FNmMwHP4Mpwrsy6ozRE,
2024-05-29 21:10:05 UTC,crypto_deposit,,,,,,Knox SOl,0.00265872,SOL,0.4490985537,,,,0.4490985537,,,,58phKFs96EcTbRCm9SYCgDA8BkZ3CG4Vq1pzaA1XCennY6kJx67WbusZeoXFtfN6wTq2XhcqpXHQSHNqZVoVQNP7,
2024-05-29 23:20:03 UTC,crypto_deposit,,,,,,Solana (SOL) 9,20,SOL,3363.63339,,,,3363.63339,,,,4rbDpuY2DyYjF6RiDf1KDewtikZdMnUmMAUhp3BCtSCMZaYJ84AKz7HmQHWhNyAsFCdgUqjZX9NGkbj8eh2PKkfA,
2024-05-30 00:41:55 UTC,crypto_deposit,,,,,,Solana (SOL) 9,0.051080435,SOL,8.608103515,,,,8.608103515,,,,57EHeCbhG4BMfcy24kiVAP8ZbMuvRP41bKCVeG4EN9aDD2ZmEd7s19cdNLxg1Sg2EmxhnEuBhgysYUtsgXng7FCP,
2024-05-30 01:11:11 UTC,exchange,Swap,Solana (SOL) 9,20.00010803,SOL,3370.483214,Solana (SOL) 9,19.54040564,JUCYSOL,3370.483214,,,,3359.276441,,,,4dZkdqgxA7x6X2dTZJ5WiBwQGGwJQqHsqsPwNBUxMQQ8F7vyDzNd44wJ9CfTtQKrX9tUwD9QiS6YT3k8yoknA59C,
2024-05-30 02:42:53 UTC,crypto_deposit,,,,,,Solana (SOL) 9,4979,BSKT,,,,,0,,,,5ikscest6L5Rqq4c98VEAk7ytomysRSRX7SHUt136bchDwyXLPhSRRL4Bjtr7thJB6oaFrqMyatQvf616VPoR57v,
2024-05-30 02:45:38 UTC,crypto_deposit,,,,,,Solana (SOL) 9,9.45123,BERN,0.0464554512,,,,0.0464554512,,,,5xXXRuJE9FguV7LurYu4MuJKXMYiE8cunPnsNwCbRvUfAWW86Pj3oRLVkr8MwAmKntUSqUYKpB1ha973cPnfWQpP,
2024-05-30 09:50:35 UTC,crypto_deposit,,,,,,Solana (SOL) 9,20.59077167,BLZE,0.017310044,,,,0.017310044,,,,2XfbkJvwcNu8wk3SjwkqXe51EjnrP4tKZxJZ2zPbShebtaJvMidU5eAKS6k9Y8eB9A6S7AaExAjPGbVsq44vHAFn,
2024-05-30 17:10:41 UTC,crypto_deposit,,,,,,Coinbase,0.027612566,SUI,0.02,,,,0.02,,,,B1EThryHr7tTfv9dWREuCBiyq4zJubg9JMqDBP7Bx3i5,
2024-05-30 17:10:48 UTC,crypto_deposit,,,,,,Coinbase,199.8681863,SUI,204.64,,,,204.64,,,,ACEKaqg3f5t3pFXsavawi9AbsN3M9whU5tw3R93SpeWf,
2024-05-30 17:11:08 UTC,crypto_deposit,,,,,,Coinbase,0.00010836,SUI,,,,,0,,,,Dz9ppYJbyKyNmi9foTx5dt5Fbu4ThuRSuuE8Wbp3V4g8,
